href,title,date,summary
https://wx.fzu.edu.cn/info/1086/3328.htm,物信学院举办“扬帆计划”实习交流分享暨动员会,2025-01-17,逐梦职场，启航未来。为进一步推动“扬帆计划”的深入实施，帮助学生更好地了解实习机会，鼓励更多同学参与“杨帆计划”实习活动，2025年1月14日晚，物信学院在旗山校区文1-105举办了“扬帆计划”实习交流分享暨动员会。 交流会上，物信学院参与过“扬帆计划”的3名优秀学生代...
https://wx.fzu.edu.cn/info/1086/3315.htm,物信学院举行2024级学生代表交流座谈会,2025-01-15,为进一步提升教育管理服务水平，推进学生工作落细落实，及时倾听学生心声，2025年1月13日下午，物信学院2024级学生代表交流座谈会在铜盘校区A栋2楼会议室举行。物信学院党委魏金明书记、祝传广老师、2024级本科生辅导员及部分数理综合班学生代表出席本次座谈会。座谈会上，学生...
https://wx.fzu.edu.cn/info/1086/3313.htm,处级领导干部联系学生社区面对面暨铜盘校区2号楼师生座谈会圆满结束,2025-01-15,为进一步推动领导干部常态化深入学生社区，“面对面”关心学生，及时解决涉及学生思想、学习、生活、发展等实际问题，增强学生社区思想政治工作的渗透力、亲和力与实效性，2025年1月3日，处级领导干部联系学生社区面对面暨铜盘校区2号楼师生座谈会在铜盘校区学生生活区一号楼一...
https://wx.fzu.edu.cn/info/1086/3293.htm,“一站式”学生社区建设| 物信学院举办“巳巳如意，共迎新年”2025年元旦游园会,2025-01-02,2025年1月1日，物信学院在16号楼共享活动空间举办“巳巳如意，共迎新年”2025年元旦游园会。游园活动精彩纷呈，现场气氛热烈，欢声不断。 “疯狂套圈圈”现场不时响起阵阵欢呼声与喝彩声；墨香四溢的 “笔下生花”一幅幅对仗工整、笔力刚劲、意境优美的对联跃然纸上；“DIY中国...
https://wx.fzu.edu.cn/info/1086/3292.htm,物信学院召开2025届考研冲刺动员暨考风考纪教育大会,2024-12-20,2025年全国硕士研究生统一招生考试将近，为激励考研学生的备考信心、激发考研斗志、鼓舞考研士气，严肃考风考纪，杜绝考试违纪行为的发生，营造公平、公正、诚信的考研氛围，2024年12月16日下午，物理与信息工程学院在旗山校区文科楼101召开考研冲刺动员暨考风考纪教育大会。学...
https://wx.fzu.edu.cn/info/1086/3266.htm,物信学院旗山校区本科生各年级召开安全法纪警示教育大会暨期末年段会,2024-12-18,为深入学习贯彻落实习近平法治思想，加强学生法规法纪观念，进一步提升学生安全意识与自我保护能力，扎实做好校园安全稳定工作，2024年12月，物信学院旗山校区本科生各年级分阶段召开了安全法纪警示教育大会暨期末年段会。本次大会邀请了福州市公安局怡山派出所聂坤海警官主讲...
https://wx.fzu.edu.cn/info/1086/3265.htm,物信学院开展研究生法治安全教育讲座,2024-12-12,为不断提高研究生安全法制意识，切实增强研究生安全防范意识，营造和谐稳定的校园环境，12月8日下午，物理与信息工程学院在图书馆博学厅举办了法制安全教育讲座。此次活动邀请到荷塘派出所所长游斌警官担任主讲，开展题为《守护青春，安全同行》的专题讲座，物信学院全体研究生...
https://wx.fzu.edu.cn/info/1086/3204.htm,物信学院召开11月份安全稳定工作专题会议,2024-12-11,为进一步强化学院安全稳定，2024年11月28日上午，物信学院11月安全稳定工作专题会议在院楼105举行。物理与信息工程学院党委郑志刚副书记及学工组全体辅导员参加了此次会议。会上，各年级辅导员分别就11月份深入学生一线，掌握学生动态，开展工作，维护学院安全稳定情况进行汇报...
https://wx.fzu.edu.cn/info/1086/3205.htm,《物信新视野》第三十四期——“电磁波束的操控者：相控阵天线的科学奥秘”顺利举办,2024-12-07,2024年12月5日晚上，《物信新视野》第三十四期——“电磁波束的操控者：相控阵天线的科学奥秘”在物信南楼思源厅顺利举行，本次论坛活动由通信工程系张哲晨博士主讲，2023级本科生辅导员刘涛老师和线上线下200余名本科生参与本次论坛。 张哲晨老师分别于2018、2023年获得电子科...
https://wx.fzu.edu.cn/info/1086/3206.htm,物信学院优秀志愿者和项目亮相福州大学12·5国际志愿者日活动,2024-12-07,2024年12月5日是第39个国际志愿者日，物理与信息工程学院优秀志愿者代表——全省第440位、福州市第119位造血干细胞捐献者宋祥和大型赛会志愿者代表岳烨亮相校“青言志愿，微光成炬”志愿服务榜样分享会，优秀项目——“守善于心，义修于行”义务维修志愿服务项目参加“青春志愿...
https://wx.fzu.edu.cn/info/1086/3207.htm,千校万岗·筑梦基层|物信学院举办2025年福建选调生政策解读会,2024-12-04,为帮助学生了解2025年福建选调生考试最新考情和政策变化，指导学生如何填写报名表，12月3日晚，物信学院在旗山校区思源厅举办了2025年福建选调生政策解读会。解读会由黄浩集老师主讲，毕业班辅导员与近百名学生参加。 讲座伊始，黄浩集老师对选调生相关政策、报名流程、审核要...
https://wx.fzu.edu.cn/info/1086/3208.htm,"讲述青年故事,传递物信精神|《物信青年说》第二十二期——“智领创新展锋芒，国奖荣耀铸辉煌”在铜盘校区顺利开讲!",2024-12-04,2024年11月28日晚，由福州大学物理与信息工程学院党委主办、学生发展中心承办的《物信青年说》第二十二期——“智领创新展锋芒，国奖荣耀铸辉煌”在铜盘校区科报厅A顺利举行。物信学院党委郑志刚副书记、各年级辅导员老师出席本次分享会，物信学院线上线下近七百名学生参与本次...
https://wx.fzu.edu.cn/info/1086/3209.htm,爱的延续|物信青协开展“旧衣回收”志愿活动,2024-12-03,2024年11月8日和10日，福州大学物理与信息工程学院青年志愿者协会（以下简称物信青协）与福建省马长白扶贫中心联合举办的“旧衣回收”志愿活动分别在旗山、铜盘校区开展。本次活动一共回收旧衣203件。全体物信青协志愿者积极行动，将福大物信青协的爱广泛传播。活动介绍在时光...
https://wx.fzu.edu.cn/info/1086/3210.htm,物信学院第53届校运会表彰大会顺利举行,2024-12-02,2024年11月28日下午，福州大学物理与信息工程学院第53届校运会表彰大会在学院思源厅召开，学院党委书记魏金明老师、学院党委副书记郑志刚老师出席表彰大会，各年级辅导员、第53届校运会运动员、工作人员以及各班文体委员参加了本次大会。表彰大会由学院团委书记庄琪老师主持。...
https://wx.fzu.edu.cn/info/1086/3188.htm,清新福建魅力乡村-我院工会组织教职工开展桂峰村秋游活动,2024-11-29,为进一步丰富教职工文体生活，增强教职工的获得感、幸福感和凝聚力，11月23日，物信学院工会组织教职工前往中国历史文化名村——尤溪县桂峰村开展秋游活动，实地感受我省乡村振兴建设与发展。坐落于尤溪县洋中镇的桂峰古村，地处半高山谷地带，四周被清冽的山水所环绕，气候温...
https://wx.fzu.edu.cn/info/1086/3141.htm,物信学院顺利召开十一月份“一月一‘习’话”——师生理论学习交流会,2024-11-28,11月20日晚6时，物信学院于16号楼“一站式”学生社区发展中心顺利开展“一月一‘习’话”——师生理论学习交流会。物理与信息工程学院党委副书记郑志刚，团委书记庄琪以及学院团委学生会文化部和艺术团的18名骨干成员参与此次座谈交流，共同学习了习近平总书记在中共中央政治局...
https://wx.fzu.edu.cn/info/1086/3142.htm,处级领导干部联系学生社区面对面——旗山校区15号楼师生座谈会,2024-11-28,为进一步加强我校“一站式”学生社区综合管理模式建设，推动领导干部常态化深入学生社区，及时解决涉及学生思想、学习、生活、发展等实际问题，2024年11月27日，处级领导干部联系学生社区面对面——旗山校区15号楼师生座谈会在旗山校区15号楼活动室举行。图书馆馆长林林、图书...
https://wx.fzu.edu.cn/info/1086/3143.htm,物理与信息工程学院2022级学生党支部与闽侯县实验中学党总支开展共建主题党日活动,2024-11-28,为深入学习贯彻党的二十大和二十届三中全会精神，助力大中小学思政教育一体化建设，发挥新一代信息技术人才学生党员的模范作用，11月26日下午，物理与信息工程学院2022级本科生学生党支部与闽侯县实验中学党总支开展“携手共筑科创梦 党建赋能‘芯’征程”共建主题党日活动。物...
https://wx.fzu.edu.cn/info/1086/3144.htm,“一站式”学生社区建设|物信学院举行2024年楼层长宿舍安全朋辈交流会,2024-11-27,为深入贯彻落实习近平总书记关于防灾减灾救灾重要论述，切实做好校园安全工作，推动我院学生应急避险安全知识宣传教育，提高学生安全防范意识和应对火灾、地震等突发事件的能力，2024年11月23日，我院于16号楼共享活动空间（校学业发展支持中心）会议室面向全院楼层长开展了“...
https://wx.fzu.edu.cn/info/1086/3145.htm,物信学院团委组织开展团务工作专题培训,2024-11-27,为提学院各基层团支部的工作效率和工作质量，推动学院各项团务工作的顺利开展，11月22日，物信学院于16号楼“一站式”学生社区发展中心顺利开展团务工作专题培训。会议由学院团委庄琪书记主持，校团委史津萌老师主讲，各年级团支书、组织部负责人参加本次会议。会议伊始，学院...
https://wx.fzu.edu.cn/info/1086/3285.htm,物信学院2024研究生新生篮球赛圆满落幕,2024-11-25,枫红球场映晚霞，物信研子展风华。11月24日下午，福州大学物理与信息工程学院研究生新生篮球赛顺利落下帷幕。  参赛队员合影本年度的新生杯历时两周，参与此次赛事的四支队伍，由2024级各研究生班级的篮球爱好者组成。赛事采用了积分赛加决赛的赛制，确保了比赛的激烈与公正。...
https://wx.fzu.edu.cn/info/1086/3146.htm,再获突破！——物信学子在第十九届“挑战杯”全国大学生课外学术科技作品竞赛2024年度“揭榜挂帅”专项赛上首获特等奖,2024-11-22,第十九届“挑战杯”全国大学生课外学术科技作品竞赛2024年度“揭榜挂帅”专项赛终审决赛于11月8日至10日在北京航空航天大学、11月15日至17日在中国计量大学和浙江理工大学举行。智能光学感知实验室团队在大挑“揭榜挂帅”专项赛中为物信学院首获特等奖！赛场剪影              ...
https://wx.fzu.edu.cn/info/1086/3147.htm,院领导为联系基层党支部讲授专题党课,2024-11-22,为深入学习贯彻习近平新时代中国特色社会主义思想和党的二十届三中全会精神，进一步增强党性修养，提升党员意识，增强责任担当，11月19日晚，我院党委副书记郑志刚以《学习贯彻二十届三中全会精神，在推进教育科技人才一体化发展中贡献学工力量》为题，在学生社区16号楼一站式...
